 ,Zdravko_ZDRAVKOV,Vladimir_IVANOV,Rosen_KIRILOV,Ivailo_PETKOV,Zlatomir_ZAGORCIC,Kiril_KOTEV,Daniel_BORIMIROV,Milen_PETKOV,Dimitar_BERBATOV,Velizar_DIMITROV,Zdravko_LAZAROV,Stoian_KOLEV,Georgi_PEEV,Georgi_CHILIKOV,Marian_HRISTOV,Vladimir_MANCHEV,Martin_PETROV,Predrag_PAZIN,Stilian_PETROV,Valeri_BOJINOV,Zoran_JANKOVIC,Ilian_STOIANOV,Dimitar_IVANKOV
Zdravko_ZDRAVKOV,0,3,4,6,0,0,0,0,1,0,0,0,1,0,2,0,0,5,1,0,0,0,0
Vladimir_IVANOV,3,0,5,0,0,0,0,0,4,2,0,0,9,0,0,0,1,1,13,0,0,0,0
Rosen_KIRILOV,1,9,0,4,0,0,0,0,0,1,0,0,4,0,3,0,1,6,6,0,1,0,0
Ivailo_PETKOV,0,0,0,0,0,0,0,0,0,0,3,0,5,0,12,0,14,3,13,0,1,0,0
Zlatomir_ZAGORCIC,2,1,9,0,0,0,0,2,0,0,1,0,1,0,3,0,2,0,1,0,4,6,0
Kiril_KOTEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel_BORIMIROV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milen_PETKOV,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Dimitar_BERBATOV,1,1,0,0,0,0,0,0,0,2,0,0,2,0,4,0,3,1,2,0,4,0,0
Velizar_DIMITROV,0,2,1,1,0,0,0,0,2,0,1,0,2,0,1,1,1,1,5,0,0,0,0
Zdravko_LAZAROV,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Stoian_KOLEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgi_PEEV,1,12,4,1,0,0,0,0,2,2,0,0,0,0,0,0,5,0,2,0,6,0,0
Georgi_CHILIKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marian_HRISTOV,2,5,5,11,0,0,0,0,4,1,1,0,5,0,0,0,14,3,11,0,1,0,0
Vladimir_MANCHEV,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Martin_PETROV,0,3,1,6,0,0,0,0,0,1,0,0,3,0,0,0,0,2,2,0,6,0,0
Predrag_PAZIN,1,5,4,7,0,0,0,0,1,1,0,0,3,0,5,0,3,0,6,0,1,0,0
Stilian_PETROV,1,9,2,10,0,0,0,0,2,3,0,0,11,0,15,1,5,3,0,0,3,0,0
Valeri_BOJINOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoran_JANKOVIC,0,4,1,1,0,0,0,0,5,0,0,0,7,0,2,0,0,1,2,0,0,0,0
Ilian_STOIANOV,1,2,9,5,8,0,0,0,3,0,1,0,0,0,4,0,9,1,4,0,2,0,0
Dimitar_IVANKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
