 ,Vladimir_IVANOV,Rosen_KIRILOV,Ivailo_PETKOV,Zlatomir_ZAGORCIC,Kiril_KOTEV,Daniel_BORIMIROV,Milen_PETKOV,Dimitar_BERBATOV,Velizar_DIMITROV,Zdravko_LAZAROV,Stoian_KOLEV,Georgi_PEEV,Georgi_CHILIKOV,Marian_HRISTOV,Vladimir_MANCHEV,Martin_PETROV,Predrag_PAZIN,Stilian_PETROV,Valeri_BOJINOV,Zoran_JANKOVIC,Ilian_STOIANOV,Dimitar_IVANKOV
Vladimir_IVANOV3,0,5,0,0,0,0,0,4,2,0,0,9,0,0,0,1,1,13,0,0,0,0
Rosen_KIRILOV1,9,0,4,0,0,0,0,0,1,0,0,4,0,3,0,1,6,6,0,1,0,0
Ivailo_PETKOV0,0,0,0,0,0,0,0,0,0,3,0,5,0,12,0,14,3,13,0,1,0,0
Zlatomir_ZAGORCIC0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiril_KOTEV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel_BORIMIROV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milen_PETKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitar_BERBATOV0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,2,0,4,0,0
Velizar_DIMITROV0,2,0,1,0,0,0,0,2,0,1,0,2,0,1,1,1,1,5,0,0,0,0
Zdravko_LAZAROV0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stoian_KOLEV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgi_PEEV1,12,4,1,0,0,0,0,2,2,0,0,0,0,0,0,5,0,2,0,6,0,0
Georgi_CHILIKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marian_HRISTOV0,5,5,11,0,0,0,0,4,1,1,0,5,0,0,0,14,3,11,0,1,0,0
Vladimir_MANCHEV0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin_PETROV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Predrag_PAZIN1,5,4,7,0,0,0,0,1,1,0,0,3,0,5,0,3,0,6,0,1,0,0
Stilian_PETROV0,9,2,10,0,0,0,0,0,3,0,0,11,0,15,1,5,3,0,0,3,0,0
Valeri_BOJINOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoran_JANKOVIC0,4,0,0,0,0,0,0,5,0,0,0,7,0,2,0,0,0,2,0,0,0,0
Ilian_STOIANOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitar_IVANKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
