 ,Oliver_KAHN,Andreas_HINKEL,Arne_FRIEDRICH,Christian_WÖRNS,Jens_NOWOTNY,Frank_BAUMANN,Bastian_SCHWEINSTEIGER,Dietmar_HAMANN,Fredi_BOBIC,Kevin_KURANYI,Miroslav_KLOSE,Jens_LEHMANN,Michael_BALLACK,Thomas_BRDARIC,Sebastian_KEHL,Jens_JEREMIES,Christian_ZIEGE,Fabian_ERNST,Bernd_SCHNEIDER,Lukas_PODOLSKI,Philipp_LAHM,Torsten_FRINGS,Timo_HILDEBRAND
Oliver_KAHN,0,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,1,1,0
Andreas_HINKEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne_FRIEDRICH,1,0,0,5,0,0,1,13,1,0,1,0,0,2,0,0,0,0,5,0,0,6,0
Christian_WÖRNS,1,0,5,0,0,10,2,6,2,2,0,0,2,1,0,0,0,0,3,0,3,4,0
Jens_NOWOTNY,4,0,10,9,0,0,9,5,0,2,0,0,8,0,0,2,0,0,3,2,2,1,0
Frank_BAUMANN,0,0,3,2,0,0,3,9,0,1,0,0,6,0,0,0,0,0,0,0,10,5,0
Bastian_SCHWEINSTEIGER,0,0,2,2,0,3,0,7,3,2,2,0,8,0,0,0,0,0,0,0,6,0,0
Dietmar_HAMANN,1,0,9,8,0,7,8,0,2,1,0,0,18,1,0,0,0,0,6,0,9,8,0
Fredi_BOBIC,2,0,1,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,1,0,0,2,0
Kevin_KURANYI,3,0,3,2,0,1,2,2,1,0,0,0,2,0,0,0,0,0,2,0,1,1,0
Miroslav_KLOSE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jens_LEHMANN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael_BALLACK,0,0,7,3,0,3,2,6,3,6,1,0,0,1,0,0,0,0,3,0,0,17,0
Thomas_BRDARIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian_KEHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens_JEREMIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian_ZIEGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian_ERNST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd_SCHNEIDER,1,0,7,2,0,0,0,5,1,2,0,0,4,0,0,0,0,0,0,0,0,2,0
Lukas_PODOLSKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp_LAHM,1,0,0,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,5,0
Torsten_FRINGS,1,0,7,3,0,3,0,8,2,1,2,0,5,2,0,0,0,0,2,0,6,0,0
Timo_HILDEBRAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
