 ,Vladislav_RADIMOV,Dmitri_SYCHEV,Aleksei_SMERTIN,Andrei_KARIAKA,Igor_SEMSHOV,Marat_IZMAILOV,Rolan_GUSEV,Dmitri_BULYKIN,Aleksandr_MOSTOVOI,Aleksandr_KERZHAKOV,Viacheslav_MALAFEEV,Roman_SHARONOV,Aleksandr_ANYUKOV,Dmitri_ALENICHEV,Vadim_EVSEEV,Dmitri_SENNIKOV,Dmitri_KIRICHENKO,Vladimir_BYSTROV,Dmitri_LOSKOV,Aleksei_BUGAYEV,Evgeni_ALDONIN,Igor_AKINFEEV
Vladislav_RADIMOV0,0,1,2,0,0,2,0,1,4,0,0,0,0,5,4,0,0,0,0,0,5,0
Dmitri_SYCHEV0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksei_SMERTIN1,2,1,0,1,0,0,1,2,3,0,0,8,0,6,14,3,0,0,0,0,1,0
Andrei_KARIAKA0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
Igor_SEMSHOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marat_IZMAILOV0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,5,0,0,0,0,6,0
Rolan_GUSEV0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,4,0
Dmitri_BULYKIN0,0,0,0,0,0,3,2,0,2,0,0,0,0,2,2,2,0,0,0,0,2,0
Aleksandr_MOSTOVOI0,1,3,2,1,0,3,1,2,0,0,0,0,0,8,0,5,0,0,0,0,5,0
Aleksandr_KERZHAKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viacheslav_MALAFEEV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman_SHARONOV0,4,0,8,0,0,1,0,1,3,0,0,0,0,6,1,5,0,0,0,0,5,0
Aleksandr_ANYUKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_ALENICHEV0,7,1,5,1,0,4,11,2,9,0,0,0,0,0,0,2,0,0,0,0,5,0
Vadim_EVSEEV3,1,2,3,1,0,0,6,3,1,0,0,6,0,0,0,1,0,0,0,0,4,0
Dmitri_SENNIKOV1,3,0,0,2,0,5,1,3,1,0,0,11,0,1,0,0,0,0,0,0,8,0
Dmitri_KIRICHENKO0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir_BYSTROV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_LOSKOV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksei_BUGAYEV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evgeni_ALDONIN0,2,0,1,0,0,6,2,4,7,0,0,3,0,8,2,8,0,0,0,0,0,0
Igor_AKINFEEV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
