 ,Santiago_CAÑIZARES,Joan_CAPDEVILA,Carlos_MARCHENA,David_ALBELDA,Carles_PUYOL,Iván_HELGUERA,RAÚL_González,Rubén_BARAJA,Fernando_TORRES,Fernando_MORIENTES,Albert_LUQUE,García_GABRI,Daniel_ARANZUBIA,VICENTE_Rodríguez,_RAÚL_BRAVO,_XABI_ALONSO,Joseba_ETXEBERRIA,CÉSAR_Martín,_SÁNCHEZ_Joaquín,Hernández_XAVI,Juan_Carlos_VALERÓN,Gutiérrez_JUANITO,Iker_CASILLAS
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago_CAÑIZARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joan_CAPDEVILA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos_MARCHENA,0,0,0,0,5,4,3,0,3,0,0,0,0,4,3,6,0,0,2,0,0,4,0
David_ALBELDA,0,0,0,4,0,4,1,1,3,0,0,0,0,2,1,6,0,0,13,0,0,1,1
Carles_PUYOL,0,0,0,4,5,0,2,0,0,0,0,0,0,3,2,5,0,0,3,0,0,4,2
Iván_HELGUERA,0,0,0,2,1,2,0,1,3,0,0,0,0,4,0,3,0,0,1,0,0,0,1
RAÚL_González,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1
Rubén_BARAJA,0,0,0,2,0,1,5,0,0,1,2,0,0,2,4,0,0,0,2,0,0,0,5
Fernando_TORRES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando_MORIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert_LUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
García_GABRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel_ARANZUBIA,0,0,0,4,2,1,0,2,3,0,1,0,0,0,5,2,0,0,1,0,0,2,2
VICENTE_Rodríguez,0,0,0,1,1,0,0,1,4,1,0,0,0,9,0,6,0,0,1,0,0,3,1
_RAÚL_BRAVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_XABI_ALONSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseba_ETXEBERRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CÉSAR_Martín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_SÁNCHEZ_Joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernández_XAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan_Carlos_VALERÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gutiérrez_JUANITO,0,0,0,0,1,2,1,1,5,0,1,0,0,2,3,2,0,0,1,0,0,3,0
